string,pred
12 1/2 oz grapefruit juice,grapefruit juice
12 1/2 oz honey liqueur,honey liqueur
12 1/2 oz honey liqueur (optional),honey liqueur
12 1/2 oz ice cube,ice cube
"12 1/2 oz lemon juice, fresh",lemon juice
12 1/2 oz lemon simple syrup,poppy simple syrup
12 1/2 oz lillet rouge,lillet rouge
12 1/2 oz lime juice,lime juice
"12 1/2 oz lime juice, fresh squeezed",lime juice
12 1/2 oz mezcal,mezcal
"12 1/2 oz orange juice, fresh",orange juice
"12 1/2 oz orange juice, fresh squeezed",orange juice
12 1/2 oz orgeat,orgeat
12 1/2 oz passionfruit simple syrup,simple syrup
12 1/2 oz pear brandy,pear brandy
"12 1/2 oz pink grapefruit juice, freshly squeezed",pink grapefruit juice
12 1/2 oz punt e mes,punt e mes
12 1/2 oz red wine,red wine
12 1/2 oz reposado tequila,reposado tequila
12 1/2 oz rye whiskey,rye whiskey
12 1/2 oz seltzer,seltzer
12 1/2 oz single-malt scotch,scotch
"12 1/2 oz sparkling wine, chilled",sparkling wine
"12 1/2 oz sparkling wine, chilled (optional)",sparkling wine
12 1/2 oz strong black coffee,black coffee
12 1/2 oz suze,suze
12 1/2 oz vanilla,vanilla
12 1/2 oz vodka,vodka
12 1/2 oz water,water
"12 1/2 oz water, hot",water
12 1/2 oz white rum,white rum
12 1/2 oz yellow chartreuse,yellow bell pepper
12 1/2 piece orange,orange
12 1/2 pt half and half,half and half
12 1/2 pt heavy cream,heavy cream
"12 1/2 slice cucumber, fresh",cucumber
12 1/2 slice green bell pepper,green bell pepper
12 1/2 slice lime,lime
12 1/2 slice lime (optional),lime
12 1/2 slice small orange,orange
12 1/2 sparkling apple cider,sparkling apple cider
12 1/2 stick cinnamon,cinnamon
12 1/2 strip lemon zest,lemon zest
12 1/2 sugar cube,sugar cube
12 1/2 Taste simple syrup,simple syrup
"12 1/2 tbsp butter, softened",butter
12 1/2 tbsp celery salt,celery salt
12 1/2 tbsp egg white,egg white
12 1/2 tbsp extra virgin olive oil,extra virgin olive oil
12 1/2 tbsp sugar,sugar
12 1/2 tbsp water,water
12 1/2 tbsp whole clove,clove
12 1/2 teaspoon ground cinnamon,ground cinnamon
12 1/2 teaspoon ground cinnamon (optional),ground cinnamon
12 1/2 teaspoon kosher salt,kosher salt
12 1/2 teaspoons kosher salt,kosher salt
12 1/2 tsp absinthe,absinthe
12 1/2 tsp agave simple syrup,barley malt
12 1/2 tsp dried lavender,lavender
12 1/2 tsp dried lavender (optional),lavender
12 1/2 tsp freshly grated nutmeg,grated nutmeg
12 1/2 tsp kosher salt,kosher salt
12 1/2 tsp kosher salt (optional),kosher salt
12 1/2 tsp orange bitters,orange bitters
12 1/2 tsp pernod,pernod
12 1/2 tsp simple syrup,simple syrup
12 1/2 tsp superfine sugar,superfine sugar
12 1/2 tsp worcestershire sauce,worcestershire sauce
12 1/3 bottle duvel beer,duvel beer
12 1/3 bottle duvel beer (optional),duvel beer
12 1/3 can grapefruit soda,grapefruit soda
12 1/3 cinnamon stick,cinnamon stick
"12 1/3 cinnamon, grated",cinnamon
12 1/3 cup apple cider vinegar,apple cider vinegar
12 1/3 cup applejack,applejack
"12 1/3 cup beef broth, chilled",beef broth
12 1/3 cup brown sugar,brown sugar
"12 1/3 cup cranberry, fresh",cranberry
"12 1/3 cup cranberry, fresh (optional)",cranberry
12 1/3 cup fresh mint,mint
12 1/3 cup gin,gin
"12 1/3 cup ginger, grated",ginger
12 1/3 cup heavy cream,heavy cream
"12 1/3 cup lemon juice, freshly squeezed",lemon juice
12 1/3 cup lime juice,lime juice
"12 1/3 cup orange juice, freshly squeezed",orange juice
12 1/3 cup turbinado sugar,turbinado sugar
12 1/3 cup unsweetened cranberry juice,cranberry juice
12 1/3 cup vodka,vodka
"12 1/3 cup water, boiling",water
12 1/3 dash bitters,bitters
12 1/3 dash grand marnier,grand marnier
12 1/3 dash lemon juice,lemon juice
12 1/3 dash maraschino liqueur,maraschino liqueur
12 1/3 dash peychauds bitters,peychauds bitters
12 1/3 drop orange bitters,orange bitters
12 1/3 egg white,egg white
"12 1/3 egg white, fresh",egg white
"12 1/3 egg white, fresh (optional)",egg white
12 1/3 floz chilled prosecco,prosecco
12 1/3 ft cheesecloth,cheesecloth
"12 1/3 in ginger, peeled",ginger
12 1/3 kosher salt,kosher salt
12 1/3 large eggs,eggs
"12 1/3 lb ginger, fresh",ginger
12 1/3 lb ice cube,ice cube
"12 1/3 lb strawberry, trimmed",strawberry
12 1/3 lb tomato,tomato
12 1/3 leaf mint,mint
"12 1/3 leaf mint, fresh",mint
12 1/3 leaf sage,sage
12 1/3 lemon twist,lemon twist
"12 1/3 medium pineapple, cut into "" cubes",pineapple
12 1/3 mint,mint
12 1/3 oz aged rum,aged rum
12 1/3 oz ale,ale
12 1/3 oz amaro,amaro
12 1/3 oz amaro (optional),amaro
12 1/3 oz amaro sfumato,amaro sfumato
12 1/3 oz amber rum,amber rum
12 1/3 oz apple brandy,apple brandy
12 1/3 oz applejack,applejack
12 1/3 oz apricot brandy,apricot brandy
12 1/3 oz becherovka,becherovka
12 1/3 oz benedictine,benedictine
12 1/3 oz blanco tequila,blanco tequila
"12 1/3 oz blood orange juice, fresh",blood orange juice
12 1/3 oz bourbon,bourbon
12 1/3 oz brandy,brandy
12 1/3 oz cardamom-infused bourbon,bourbon
12 1/3 oz celery juice,celery juice
12 1/3 oz champagne acid,champagne acid
"12 1/3 oz club soda, chilled",club soda
"12 1/3 oz coconut water, chilled",coconut water
12 1/3 oz coffee,coffee
12 1/3 oz cointreau,cointreau
12 1/3 oz cola simple syrup,scotch
12 1/3 oz creme de cacao,creme de cacao
12 1/3 oz crushed ice,crushed ice
12 1/3 oz demerara simple syrup,simple simple syrup
12 1/3 oz dry gin,dry gin
12 1/3 oz dry white wine,cooked wine rice
12 1/3 oz genever,genever
12 1/3 oz ginger liqueur,ginger liqueur
12 1/3 oz gran classico,gran classico
"12 1/3 oz hard cider, chilled",hard cider
12 1/3 oz jalapeno tequila,blanco tequila
"12 1/3 oz lemon juice, fresh",lemon juice
12 1/3 oz lime juice,lime juice
"12 1/3 oz lime, fresh",lime
12 1/3 oz maple syrup,maple syrup
12 1/3 oz mild fernet,fernet
"12 1/3 oz orange juice, freshly squeezed",orange juice
"12 1/3 oz pineapple juice, freshly squeezed",pineapple juice
12 1/3 oz port,port
12 1/3 oz rum,rum
12 1/3 oz semisweet chocolate chip,chocolate chip
12 1/3 oz simple syrup,simple syrup
"12 1/3 oz sparkling wine, chilled",sparkling wine
12 1/3 oz suze,suze
12 1/3 oz sweet vermouth,sweet vermouth
12 1/3 oz sweetened condensed milk,sweetened condensed milk
12 1/3 oz tequila,tequila
12 1/3 oz triple sec,triple sec
12 1/3 oz white rum,white rum
12 1/3 piece orange,orange
12 1/3 pt heavy cream,heavy cream
12 1/3 qt simple syrup,simple syrup
12 1/3 slice lemon,lemon
12 1/3 sprig rosemary,rosemary
"12 1/3 sprig thyme, fresh",thyme
12 1/3 star whole anise,anise
12 1/3 strawberry,strawberry
12 1/3 strip lemon zest,lemon zest
12 1/3 sugar cube,sugar cube
"12 1/3 tablespoons (g) plain or toasted sugar, divided",sugar
12 1/3 tablespoons (g) unsalted butter,unsalted butter
12 1/3 Taste simple syrup,simple syrup
12 1/3 tbsp cane simple syrup,simple syrup
"12 1/3 tbsp ginger, minced",ginger
"12 1/3 tbsp jalapeno, diced",jalapeno
12 1/3 tbsp lime zest,lime zest
12 1/3 tbsp orange zest,orange zest
12 1/3 tbsp sugar,sugar
12 1/3 tbsp sugar (optional),sugar
12 1/3 teaspoon ground cinnamon,ground cinnamon
12 1/3 teaspoon ground cinnamon (optional),ground cinnamon
12 1/3 teaspoon kosher salt,kosher salt
12 1/3 tsp absinthe,absinthe
12 1/3 tsp black peppercorn,black peppercorn
12 1/3 tsp kosher salt,kosher salt
12 1/3 tsp salt,salt
12 1/3 tsp salt (optional),salt
12 1/3 tsp sugar,sugar
12 1/3 tsp water,water
12 1/3 tsp whole allspice,allspice
12 1/3 tsp whole anise,anise
12 1/3 vanilla bean,vanilla bean
12 1/3 wheel cucumber,cucumber
12 1/4 barspoon maraschino liqueur,maraschino liqueur
"12 1/4 bottle dry sparkling wine, chilled",sparkling wine
12 1/4 clove,clove
12 1/4 clove medium garlic,garlic
12 1/4 cup cold water,water
12 1/4 cup dark rum,dark rum
12 1/4 cup freshly squeezed grapefruit juice,grapefruit juice
12 1/4 cup ginger beer,ginger beer
12 1/4 cup granulated sugar,granulated sugar
12 1/4 cup heavy cream,heavy cream
12 1/4 cup lemon juice,lemon juice
"12 1/4 cup lemon juice, fresh",lemon juice
12 1/4 cup lime juice,lime juice
"12 1/4 cup mixed berries, frozen",mixed berries
"12 1/4 cup orange juice, freshly squeezed",orange juice
12 1/4 cup pear liqueur,pear liqueur
12 1/4 cup scotch,scotch
12 1/4 cup triple sec,triple sec
12 1/4 dash absinthe,absinthe
12 1/4 dash angostura bitters,angostura bitters
12 1/4 dash grand marnier,grand marnier
12 1/4 dash maraschino liqueur,maraschino liqueur
12 1/4 dash orange,orange
12 1/4 dash peychauds bitters,peychauds bitters
12 1/4 drop water,water
12 1/4 fresh pear,pear
12 1/4 large egg yolk,egg yolk
"12 1/4 lb ginger, fresh",ginger
"12 1/4 lb strawberry, trimmed",strawberry
"12 1/4 leaf mint, fresh",mint
12 1/4 leaf sage,sage
12 1/4 lime,lime
"12 1/4 medium grapefruit, zested",grapefruit
"12 1/4 medium pineapple, cut into "" cubes",pineapple
12 1/4 nutmeg,nutmeg
12 1/4 orange twist,orange twist
"12 1/4 ounces ( grams) white chocolate chips, or chopped white chocolate from a bar",white white
12 1/4 oz ale,ale
12 1/4 oz amaro,amaro
"12 1/4 oz apple cider, fresh",apple cider
12 1/4 oz apple simple syrup,apple simple syrup
12 1/4 oz apricot,apricot
12 1/4 oz averna,averna
12 1/4 oz beet juice,beet juice
"12 1/4 oz blood orange juice, fresh",blood orange juice
12 1/4 oz bourbon,bourbon
12 1/4 oz brandy,brandy
12 1/4 oz brut sparkling wine,sparkling wine
12 1/4 oz calvados,calvados
12 1/4 oz champagne,champagne
12 1/4 oz club soda,club soda
12 1/4 oz cocchi americano,cocchi americano
12 1/4 oz cocchi americano (optional),cocchi americano
12 1/4 oz cointreau,cointreau
12 1/4 oz dry sherry,dry sherry
12 1/4 oz dry sparkling wine,sparkling wine
"12 1/4 oz dry vermouth, chilled",dry vermouth
12 1/4 oz elderflower liqueur,elderflower liqueur
12 1/4 oz freshly squeezed lime juice,lime juice
12 1/4 oz gin,gin
12 1/4 oz ginger beer,ginger beer
12 1/4 oz ginger juice,ginger juice
12 1/4 oz grand marnier,grand marnier
"12 1/4 oz hard cider, chilled",hard cider
12 1/4 oz high-proof bourbon,bourbon
12 1/4 oz honey,honey
12 1/4 oz honey (optional),honey
12 1/4 oz honey liqueur,honey liqueur
12 1/4 oz light rum,light rum
"12 1/4 oz lime juice, fresh",lime juice
12 1/4 oz maple syrup,maple syrup
12 1/4 oz mezcal,mezcal
12 1/4 oz old tom gin,old tom gin
"12 1/4 oz orange juice, fresh squeezed",orange juice
12 1/4 oz pear brandy,pear brandy
12 1/4 oz pineapple juice,pineapple juice
"12 1/4 oz pomegranate juice, fresh",pomegranate juice
12 1/4 oz punt e mes,punt e mes
"12 1/4 oz red grapefruit, fresh",red grapefruit
12 1/4 oz reposado tequila,reposado tequila
12 1/4 oz strong black coffee,black coffee
12 1/4 oz sugar,sugar
"12 1/4 oz sweet sparkling wine, chilled",sparkling wine
12 1/4 oz sweet vermouth,sweet vermouth
12 1/4 oz tequila,tequila
12 1/4 oz vodka,vodka
12 1/4 oz water,water
12 1/4 peach,peach
"12 1/4 peach, cubed",peach
12 1/4 qt water,water
"12 1/4 raspberry, fresh",raspberry
12 1/4 red grape,red grape
12 1/4 slice cucumber,cucumber
12 1/4 sparkling apple cider,sparkling apple cider
12 1/4 sprig rosemary,rosemary
12 1/4 star crushed anise,anise
12 1/4 stick cinnamon,cinnamon
"12 1/4 tablespoons (g) plain or toasted sugar, divided",sugar
"12 1/4 tbsp ginger, minced",ginger
12 1/4 tbsp lime zest,lime zest
12 1/4 tbsp water,water
12 1/4 tsp absinthe,absinthe
12 1/4 tsp agave,agave
12 1/4 tsp black peppercorn,black peppercorn
12 1/4 tsp dried lavender,lavender
12 1/4 tsp hot sauce,hot sauce
12 1/4 tsp kosher salt,kosher salt
12 1/4 tsp mustard seed,mustard seed
12 1/4 tsp sea salt,sea salt
12 1/4 tsp whole mace,paneer
12 1/4 wedge cucumber,cucumber
12 1/4 wheel cucumber,cucumber
12 1/8 bottle duvel beer,duvel beer
12 1/8 can clamato,clamato
12 1/8 cherry,cherry
12 1/8 cinnamon stick,cinnamon stick
12 1/8 clove medium garlic,garlic
12 1/8 cup apple brandy,apple brandy
12 1/8 cup apple cider vinegar,apple cider vinegar
12 1/8 cup cold water,water
12 1/8 cup gin,gin
"12 1/8 cup lemon juice, freshly squeezed",lemon juice
12 1/8 cup mint,mint
"12 1/8 cup mixed berries, frozen",mixed berries
"12 1/8 cup peach, frozen",peach
12 1/8 cup rum,rum
12 1/8 cup scotch,scotch
12 1/8 cup small ice cube,ice cube
12 1/8 cup triple sec,triple sec
12 1/8 cup unsweetened cranberry juice,cranberry juice
12 1/8 cup water,water
"12 1/8 cup water, boiling",water
12 1/8 dash absinthe,absinthe
12 1/8 dash angostura bitters,angostura bitters
12 1/8 dash bitters,bitters
12 1/8 dash cointreau,cointreau
"12 1/8 dash lemon juice, fresh",lemon juice
12 1/8 dash orange bitters,orange bitters
12 1/8 dash peychauds bitters,peychauds bitters
12 1/8 dash rose water,rose water
12 1/8 ft cheesecloth,cheesecloth
12 1/8 large lime,lime
12 1/8 lb tomato,tomato
"12 1/8 leaf mint, fresh",mint
12 1/8 light beer,light rum
12 1/8 NO Cartridges,cinnamon
12 1/8 nutmeg,nutmeg
12 1/8 oz absinthe,absinthe
12 1/8 oz agave nectar,agave nectar
12 1/8 oz aged rum,aged rum
12 1/8 oz allspice,allspice
12 1/8 oz amaro,amaro
12 1/8 oz amber rum,amber rum
12 1/8 oz angostura bitters,angostura bitters
12 1/8 oz aperol,aperol
"12 1/8 oz apple cider, fresh",apple cider
"12 1/8 oz apple cider, fresh (optional)",apple cider
12 1/8 oz benedictine,benedictine
12 1/8 oz campari,campari
12 1/8 oz club soda,club soda
12 1/8 oz coconut milk,coconut milk
12 1/8 oz cognac,cognac
12 1/8 oz creme de cacao,creme de cacao
"12 1/8 oz cucumber juice, fresh",cucumber juice
12 1/8 oz demerara simple syrup,simple simple syrup
12 1/8 oz dry gin,dry gin
12 1/8 oz dry vermouth,dry vermouth
12 1/8 oz elderflower liqueur,elderflower liqueur
12 1/8 oz freshly squeezed lemon juice,lemon juice
12 1/8 oz gin,gin
"12 1/8 oz ginger ale, chilled",ginger ale
12 1/8 oz ginger beer,ginger beer
12 1/8 oz gran classico,gran classico
12 1/8 oz green chartreuse,green chartreuse
"12 1/8 oz hot, freshly brewed black coffee",black black bass
12 1/8 oz Jameson whiskey,whiskey whiskey
12 1/8 oz lemon juice,lemon juice
"12 1/8 oz lime juice, fresh",lime juice
"12 1/8 oz lime juice, fresh squeezed",lime juice
12 1/8 oz maraschino liqueur,maraschino liqueur
12 1/8 oz mezcal,mezcal
12 1/8 oz mezcal (optional),mezcal
12 1/8 oz old tom gin,old tom gin
12 1/8 oz passionfruit simple syrup,simple syrup
12 1/8 oz pineapple,pineapple
12 1/8 oz pineapple juice,pineapple juice
12 1/8 oz rum,rum
12 1/8 oz sage simple syrup,simple syrup
12 1/8 oz saint germain,saint germain
12 1/8 oz scotch,scotch
12 1/8 oz seltzer,seltzer
12 1/8 oz simple syrup,simple syrup
12 1/8 oz suze,suze
12 1/8 oz sweet vermouth,sweet vermouth
12 1/8 oz sweetened condensed milk,sweetened condensed milk
12 1/8 oz tequila,tequila
12 1/8 oz water,water
12 1/8 oz white rum,white rum
12 1/8 oz yellow chartreuse,yellow bell pepper
"12 1/8 peach, cubed",peach
"12 1/8 raspberry, fresh",raspberry
12 1/8 red grape,red grape
"12 1/8 slice dried pear, fresh",pear
12 1/8 slice lime,lime
12 1/8 sour cherry,sour cherry
12 1/8 sour cherry (optional),sour cherry
"12 1/8 stalk lemongrass, sliced",lemongrass
12 1/8 strawberry,strawberry
"12 1/8 tablespoons (ml) extra-virgin olive oil, duck fat, goose fat, or beef fat",beef snapper
"12 1/8 tablespoons unsalted butter, at room temperature",unsalted butter
"12 1/8 tablespoons unsalted butter, at room temperature (optional)",unsalted butter
12 1/8 tbsp brandy,brandy
"12 1/8 tbsp butter, softened",butter
12 1/8 tbsp whole black peppercorn,black peppercorn
12 1/8 teaspoons kosher salt,kosher salt
12 1/8 tsp absinthe,absinthe
12 1/8 tsp creme de violette,creme de violette
12 1/8 tsp lemon juice,lemon juice
12 1/8 tsp salt,salt
12 1/8 tsp sea salt,sea salt
12 1/8 tsp whole mace,paneer
12 1/8 twist orange,orange
12 1/8 wheel lime,lime
"12 2/3 -oz grapefruit hefeweizen, chilled",grapefruit hefeweizen
12 2/3 allspice,allspice
12 2/3 barspoon maraschino liqueur,maraschino liqueur
"12 2/3 bottle coffee, cold",coffee
"12 2/3 bottle cognac,  ml",cognac
"12 2/3 bottle cognac,  ml (optional)",cognac
12 2/3 cup apple brandy,apple brandy
"12 2/3 cup brewed black tea, chilled",brewed black tea
12 2/3 cup brown sugar,brown sugar
"12 2/3 cup cranberry, fresh",cranberry
12 2/3 cup fresh mint,mint
12 2/3 cup granulated sugar,granulated sugar
12 2/3 cup grape,grape
12 2/3 cup heavy cream,heavy cream
"12 2/3 cup heavy cream, well chilled",heavy cream
"12 2/3 cup orange juice, fresh",orange juice
"12 2/3 cup peach, frozen",peach
12 2/3 cup pear liqueur,pear liqueur
12 2/3 cup rum,rum
12 2/3 cup sparkling wine,sparkling wine
12 2/3 cup sugar,sugar
"12 2/3 cup water, boiling",water
12 2/3 cups ( ml) heavy cream,heavy cream
12 2/3 dash angostura bitters,angostura bitters
12 2/3 dash bitters,bitters
12 2/3 dash curacao,curacao
"12 2/3 dash lemon juice, fresh",lemon juice
12 2/3 dash orange,orange
12 2/3 dash peychauds bitters,peychauds bitters
12 2/3 dash rose water,rose water
12 2/3 floz chilled prosecco,prosecco
12 2/3 kosher salt,kosher salt
12 2/3 large eggs,eggs
"12 2/3 lb bread, fresh",bread
12 2/3 leaf mint,mint
12 2/3 leaf sage,sage
"12 2/3 lemon twist, optional",lemon twist
"12 2/3 lemon, thinly sliced",lemon
12 2/3 medium orange,orange
"12 2/3 orange, sliced",orange
"12 2/3 ounces (g) all-purpose flour, sifted",flour flour
12 2/3 ounces (ml) Cointreau,cointreau
12 2/3 oz agave nectar,agave nectar
12 2/3 oz amaro,amaro
12 2/3 oz apple simple syrup,apple simple syrup
12 2/3 oz averna,averna
12 2/3 oz benedictine,benedictine
12 2/3 oz blanco tequila,blanco tequila
12 2/3 oz bornholmer bitter,bornholmer bitter
12 2/3 oz bourbon,bourbon
12 2/3 oz brandy,brandy
12 2/3 oz brandy (optional),brandy
12 2/3 oz campari,campari
12 2/3 oz cava,cava
12 2/3 oz champagne acid,champagne acid
12 2/3 oz club soda,club soda
"12 2/3 oz club soda, cold",club soda
12 2/3 oz coffee,coffee
12 2/3 oz crushed ice,crushed ice
12 2/3 oz dry sherry,dry sherry
12 2/3 oz dry vermouth,dry vermouth
"12 2/3 oz dry vermouth, chilled",dry vermouth
12 2/3 oz dry white wine,cooked wine rice
12 2/3 oz falernum,falernum
12 2/3 oz freshly squeezed lime juice,lime juice
"12 2/3 oz ginger, peeled",ginger
12 2/3 oz grand marnier,grand marnier
12 2/3 oz grapefruit simple syrup,ginger simple
"12 2/3 oz lemon juice, fresh",lemon juice
12 2/3 oz lillet blanc,lillet blanc
12 2/3 oz maple syrup,maple syrup
12 2/3 oz maraschino liqueur,maraschino liqueur
"12 2/3 oz orange juice, fresh",orange juice
12 2/3 oz pineapple,pineapple
"12 2/3 oz pomegranate juice, fresh",pomegranate juice
"12 2/3 oz red grapefruit, fresh",red grapefruit
12 2/3 oz red wine,red wine
12 2/3 oz rum,rum
12 2/3 oz rye whiskey,rye whiskey
12 2/3 oz sage simple syrup,simple syrup
12 2/3 oz scotch,scotch
12 2/3 oz seltzer,seltzer
12 2/3 oz sherry,sherry
12 2/3 oz simple syrup,simple syrup
12 2/3 oz sweet vermouth,sweet vermouth
12 2/3 oz water,water
"12 2/3 oz water, hot",water
12 2/3 oz white rum,white rum
12 2/3 peach,peach
"12 2/3 slice cucumber, fresh",cucumber
12 2/3 splash gin,gin
12 2/3 sprig fresh mint,mint
"12 2/3 stalk lemongrass, sliced",lemongrass
12 2/3 tablespoons (g) unsalted butter,unsalted butter
"12 2/3 tablespoons (ml) extra-virgin olive oil, duck fat, goose fat, or beef fat",beef snapper
"12 2/3 tbsp jalapeno, diced",jalapeno
12 2/3 tbsp sugar,sugar
"12 2/3 tbsp white onion, diced",white onion
12 2/3 tbsp whole black peppercorn,black peppercorn
12 2/3 tbsp whole clove,clove
12 2/3 tbsp whole cumin seed,cumin seed
12 2/3 teaspoon kosher salt,kosher salt
12 2/3 tsp creme de violette,creme de violette
"12 2/3 tsp creme de violette, optional",creme de violette
12 2/3 tsp kosher salt,kosher salt
12 2/3 tsp lemon juice,lemon juice
"12 2/3 tsp lemon juice, freshly squeezed",lemon juice
12 2/3 tsp mustard seed,mustard seed
12 2/3 tsp orange bitters,orange bitters
12 2/3 tsp vanilla extract,vanilla extract
12 2/3 tsp whole allspice,allspice
12 2/3 tsp whole anise,anise
12 2/3 tsp worcestershire sauce,worcestershire sauce
12 2/3 twist orange,orange
12 2/3 wedge cucumber,cucumber
12 2/3 whole anise,anise
"12 3/4 bottle dry sparkling wine, chilled",sparkling wine
12 3/4 cinnamon stick,cinnamon stick
12 3/4 cup aged rum,aged rum
12 3/4 cup aged rum (optional),aged rum
"12 3/4 cup beef broth, chilled",beef broth
"12 3/4 cup brewed black tea, chilled",brewed black tea
12 3/4 cup granulated sugar,granulated sugar
12 3/4 cup honey,honey
12 3/4 cup ice cube,ice cube
12 3/4 cup lemon juice,lemon juice
12 3/4 cup lemon juice (optional),lemon juice
"12 3/4 cup lemon juice, freshly squeezed",lemon juice
12 3/4 cup milk,milk
12 3/4 cup small ice cube,ice cube
12 3/4 cup tequila,tequila
12 3/4 cup turbinado sugar,turbinado sugar
12 3/4 cup vodka,vodka
12 3/4 dash angostura bitters,angostura bitters
12 3/4 dash bitters,bitters
12 3/4 dash lemon juice,lemon juice
12 3/4 drop  percent saline,saline
12 3/4 egg white,egg white
"12 3/4 egg white, fresh",egg white
12 3/4 fresh pear,pear
12 3/4 head cauliflower,cauliflower
12 3/4 in orange,orange
"12 3/4 lb bread, fresh",bread
12 3/4 leaf basil,basil
12 3/4 leaf sage,sage
12 3/4 lemon twist,lemon twist
"12 3/4 lemon, cut into rounds",lemon
"12 3/4 lemon, cut into rounds (optional)",lemon
12 3/4 light beer,light rum
12 3/4 lime,lime
"12 3/4 medium cucumber, sliced into "" rounds",cucumber
12 3/4 medium lime,lime
"12 3/4 medium navel orange, cut into wheels",navel orange
12 3/4 medium orange,orange
12 3/4 mint,mint
"12 3/4 orange, zested",orange
"12 3/4 ounces ( grams) white chocolate chips, or chopped white chocolate from a bar",white white
12 3/4 ounces (ml) Cointreau,cointreau
12 3/4 oz aged rum,aged rum
12 3/4 oz allspice,allspice
12 3/4 oz amaro sfumato,amaro sfumato
12 3/4 oz amber rum,amber rum
12 3/4 oz apple cider,apple cider
12 3/4 oz becherovka,becherovka
12 3/4 oz brewed chamomile tea,brewed chamomile tea
12 3/4 oz campari,campari
12 3/4 oz cocchi americano,cocchi americano
"12 3/4 oz coffee, hot",coffee
12 3/4 oz cognac,cognac
12 3/4 oz cointreau,cointreau
12 3/4 oz creme de cacao,creme de cacao
12 3/4 oz demerara simple syrup,simple simple syrup
12 3/4 oz dry sherry,dry sherry
12 3/4 oz dry vermouth,dry vermouth
12 3/4 oz genever,genever
12 3/4 oz gin,gin
12 3/4 oz ginger juice,ginger juice
12 3/4 oz grand marnier,grand marnier
12 3/4 oz granulated sugar,granulated sugar
12 3/4 oz grape simple syrup,ginger simple
12 3/4 oz grapefruit juice,grapefruit juice
"12 3/4 oz hot, freshly brewed black coffee",black black bass
12 3/4 oz lemon simple syrup,poppy simple syrup
12 3/4 oz light rum,light rum
12 3/4 oz lillet rouge,lillet rouge
"12 3/4 oz lime juice, fresh",lime juice
"12 3/4 oz lime juice, fresh squeezed",lime juice
"12 3/4 oz lime, fresh",lime
12 3/4 oz mezcal,mezcal
12 3/4 oz pineapple juice,pineapple juice
"12 3/4 oz pineapple juice, freshly squeezed",pineapple juice
12 3/4 oz punt e mes,punt e mes
12 3/4 oz rum,rum
12 3/4 oz rye whiskey,rye whiskey
12 3/4 oz saint germain,saint germain
12 3/4 oz simple syrup,simple syrup
"12 3/4 oz simple syrup, preferably made with turbinado sugar",simple syrup
12 3/4 oz suze,suze
12 3/4 oz tawny port,port
12 3/4 oz triple sec,triple sec
12 3/4 oz vanilla,vanilla
12 3/4 oz water,water
12 3/4 oz white rum,white rum
12 3/4 pt half and half,half and half
12 3/4 qt water,water
12 3/4 slice cucumber,cucumber
12 3/4 smoked ham hock (about   pounds; g),ham hock
12 3/4 splash gin,gin
12 3/4 star crushed anise,anise
12 3/4 sugar cube,sugar cube
12 3/4 tbsp brandy,brandy
12 3/4 tbsp cane simple syrup,simple syrup
12 3/4 tbsp celery salt,celery salt
12 3/4 tbsp egg white,egg white
12 3/4 tbsp extra virgin olive oil,extra virgin olive oil
12 3/4 tbsp honey,honey
12 3/4 tbsp rye whiskey,rye whiskey
"12 3/4 tbsp white onion, diced",white onion
12 3/4 teaspoon kosher salt,kosher salt
12 3/4 tsp agave,agave
12 3/4 tsp agave simple syrup,barley malt
12 3/4 tsp freshly grated nutmeg,grated nutmeg
12 3/4 tsp hot sauce,hot sauce
12 3/4 tsp kosher salt,kosher salt
12 3/4 tsp kosher salt (optional),kosher salt
12 3/4 tsp lemon juice,lemon juice
"12 3/4 tsp lemon juice, freshly squeezed",lemon juice
12 3/4 tsp sea salt,sea salt
12 3/4 tsp simple syrup,simple syrup
12 3/4 tsp sugar,sugar
12 3/4 tsp superfine sugar,superfine sugar
12 3/4 tsp vanilla extract,vanilla extract
12 3/4 tsp water,water
12 3/4 tsp worcestershire sauce,worcestershire sauce
12 3/4 twist orange,orange
12 cardamom pods,cardamom pods
12 clove,clove
"12 cloves garlic, grated on a microplane grater",garlic
"12 cloves garlic, grated on the medium holes of a box grater, divided",garlic
12 dried ancho chiles,ancho chiles
12 eggs,eggs
"12 frozen pre-cooked breakfast sausage patties, thawed",bread
12 garlic cloves,garlic
"12 hot Chinese dry chili peppers, seeded",yellow bell peppers
12 large egg yolk,egg yolk
"12 lemon, halved",lemon
12 mint leaves,catfish
12 ounces angel hair pasta,angel hair pasta
12 ounces bucatini pasta,pasta
"12 ounces button mushrooms, halved",mushrooms
12 ounces fresh chinese noodles (or 6 ounces dried noodles),dried rice noodles
12 ounces jumbo shells,clove
12 ounces rotini pasta,pasta
"12 oz black peppercorn simple syrup, chilled",lime simple syrup
12 oz bourbon,bourbon
"12 oz celery juice, fresh",celery juice
12 oz citrus simple syrup,chia simple syrup
12 oz citrus simple syrup (optional),chia simple syrup
12 oz ice cube,ice cube
12 oz sherry,sherry
12 oz sherry (optional),sherry
12 oz water,water
12 oz water (optional),water
"12 scallions, white parts only (reserve greens and light green parts for garnishing finished soup)",pig
"12 small scallions, trimmed to 6-inches in length",scallions
"12 snow peas, stemmed, tough strings removed, and slice thinly on the bias",peas peas
